"Man, what's the deal with this place?",0,3,5,-1,5717,0
"Indeed. We never expected a birdcage to
collapse with the defeat of a warden.",1,4,0,-1,5718,0
It could be due to the lack of a Monarch.,2,2,2,-1,5719,0
"Whatever the case is, the Desires should've been released back to their owners. The locals should all be back to normal by now.",3,2,0,-1,5720,0
"I seriously hope so—I don't feel like living
through another B-movie...",4,7,3,-1,5721,0
"I'm sorry, everyone.",5,10,3,-1,5722,0
Sophie?,6,6,0,-1,5723,0
"After all your efforts, this mission was fruitless.
I'm sorry you had to endure that because of
me.",7,10,3,-1,5724,1
Don't worry about it.,8,0,-1,-1,-1,0
It wasn't fruitless.,9,0,-1,-1,-1,0
"I admit, it was a bummer...",10,0,-1,-1,-1,0
Joker's right! Don't sweat it!,11,3,0,-1,5725,0
"He's right. Plus, I'm sure you'll find out who
you are eventually.",12,6,1,-1,5726,0
"True, but I'm sure we'll find out what we need
if we keep infiltrating Jails.",13,2,0,-1,5727,0
Right...,14,10,3,-1,5728,0
"However, I did at least figure out one thing.",15,10,0,-1,5729,0
"When the voice called me worthless, I was sad.",16,10,3,-1,5730,0
"But when that made everyone angry, I became
happy.",17,10,0,-1,5731,0
"I still feel that way—even now, there is a
warmth within me...",18,10,1,-1,5732,0
I have friends. I know I'm not alone.,19,10,1,-1,5733,0
"Thank you, Joker. Thank you, Skull, Mona.",20,10,1,-1,5734,0
"R-Really? You just figured that out now? I
mean, that thing just really pissed me off,
is all...",21,1,4,-1,5735,0
"Yeah, and I was just trying to reel in Skull,
so, uh...",22,2,4,-1,5736,0
"Oho, what's this? Two embarrassed Phantom
Thieves?",23,7,1,-1,5737,0
Even your masks are glowing red.,24,5,1,-1,5738,0
"Wha— Nuh-uh, that's impossible!",25,1,4,-1,5739,0
How's my mask suppose'ta change color!?,26,1,2,-1,5740,0
Mona's black mask makes it difficult to tell.,27,4,0,-1,5741,0
Buh— I'm not telling anything!,28,2,10,-1,5742,0
"Well, we should head back to the exit.",29,6,1,-1,5743,1
I'm worried about Zenkichi.,30,0,-1,-1,-1,0
I'm worried about the residents.,31,0,-1,-1,-1,0
I feel like I'm gonna pass out.,32,0,-1,-1,-1,0
"Mmhm, I bet he's weeping like a baby by now!",33,7,1,-1,5744,0
"Yes, we should go check on them.",34,5,0,-1,5745,0
Tell me about it... I'm about to pass out myself.,35,3,3,-1,5746,0
"Okay, everyone—back to the exit.",36,2,0,-1,5747,0
"I can feel a strong
bond with my friends...",37,0,-1,-1,-1,0
未作成テキスト,38,-1,-1,-1,-1,0
未作成テキスト,39,-1,-1,-1,-1,0
未作成テキスト,40,-1,-1,-1,-1,0
未作成テキスト,41,-1,-1,-1,-1,0
未作成テキスト,42,-1,-1,-1,-1,0
未作成テキスト,43,-1,-1,-1,-1,0
未作成テキスト,44,-1,-1,-1,-1,0
未作成テキスト,45,-1,-1,-1,-1,0
未作成テキスト,46,-1,-1,-1,-1,0
未作成テキスト,47,-1,-1,-1,-1,0
未作成テキスト,48,-1,-1,-1,-1,0
未作成テキスト,49,-1,-1,-1,-1,0
未作成テキスト,50,-1,-1,-1,-1,0
未作成テキスト,51,-1,-1,-1,-1,0
未作成テキスト,52,-1,-1,-1,-1,0
未作成テキスト,53,-1,-1,-1,-1,0
未作成テキスト,54,-1,-1,-1,-1,0
未作成テキスト,55,-1,-1,-1,-1,0
